Tip,Segment,Algoritma,MAPE,RMSE,MAE,Test_2024,Test_2025,Gercek_2024,Gercek_2025,Forecast_2026,Forecast_2027
Genre,Strategy,Linear,5.449500704069535,0.018592495685991327,0.015109957441667987,0.29738056880555774,0.31458543292222174,0.271436864,0.318861643,0.33179029703889285,0.34899516115555684
Genre,Strategy,ARIMA,23.33879160322798,0.07751585449805574,0.07094833107587399,0.2317141957051131,0.2166876491431389,0.271436864,0.318861643,0.21251067795513062,0.21134959358797453
Genre,Strategy,HoltWinters,5.449500824299772,0.018592435185946693,0.015109967232987243,0.2973804611122881,0.3145853056463136,0.271436864,0.318861643,0.3317901501803391,0.34899499471436457
Genre,Strategy,Prophet,5.445191325483694,0.018466118527555933,0.015115496283785862,0.2971598720357756,0.31435365846820384,0.271436864,0.318861643,0.3315004673420735,0.3486472762159432
Genre,Strategy,LightGBM,25.747009024860507,0.08095721069608301,0.0774066699186205,0.2177425835813795,0.2177425835813795,0.271436864,0.318861643,0.2177425835813795,0.2177425835813795
Genre,RPG,Linear,23.28777448287408,0.12335977145938322,0.10261468833887821,0.5891218423888773,0.6384573242888791,0.418039213,0.604310577,0.687792806188881,0.7371282880888828
Genre,RPG,ARIMA,20.219768690268612,0.1672630943100505,0.12097300581753276,0.4125758370045909,0.36782794136034364,0.418039213,0.604310577,0.3538615850988392,0.34950251738369986
Genre,RPG,HoltWinters,23.28775104583989,0.12335967909416969,0.10261457071281749,0.5891217346361561,0.6384571967894789,0.418039213,0.604310577,0.6877926589428016,0.7371281210961242
Genre,RPG,Prophet,23.084341470634172,0.12254446305109823,0.10160049909186919,0.588156016784731,0.6373947713990075,0.418039213,0.604310577,0.6864989938968517,0.7356032163946957
Genre,RPG,LightGBM,23.05451158788176,0.1606568475641983,0.13090594870998384,0.3802689462900162,0.3802689462900162,0.418039213,0.604310577,0.3802689462900162,0.3802689462900162
Genre,Sports,Linear,78.48962601060698,0.04061879939596287,0.03895473340833336,0.009507207750000024,0.010551788433333265,0.036954743,0.06101372,0.011596369116666505,0.01264094980000019
Genre,Sports,ARIMA,82.64994214538206,0.044145282166493695,0.0416423538792917,0.009965726656955307,0.004718028584461289,0.036954743,0.06101372,0.004718028584461289,0.004718028584461289
Genre,Sports,HoltWinters,54.789094940205416,0.02889724937187016,0.027442623621282063,0.018564932755823542,0.02451828300161233,0.036954743,0.06101372,0.030471633247401115,0.0364249834931899
Genre,Sports,Prophet,78.50316880101214,0.04062454438833873,0.038960856665765965,0.009500634555592809,0.010546115112875261,0.036954743,0.06101372,0.011588739165902846,0.012631363218930427
Genre,Sports,LightGBM,89.25808639740971,0.045653103688510825,0.044039723918552084,0.004944507581447917,0.004944507581447917,0.036954743,0.06101372,0.004944507581447917,0.004944507581447917
Genre,Racing,Linear,32.82003046609333,0.00507220679011924,0.004999175847222137,0.00974510402777784,0.010596513277777886,0.015601906,0.014738063,0.011447922527777932,0.012299331777777756
Genre,Racing,ARIMA,44.52597612919937,0.0072807315663060155,0.0068215602537108275,0.006235671337725768,0.010461177154852577,0.015601906,0.014738063,0.005947727887918767,0.005947727887918767
Genre,Racing,HoltWinters,32.820807205749745,0.005072320826130917,0.004999293293471215,0.009744996749905336,0.010596385663152233,0.015601906,0.014738063,0.011447774576399127,0.012299163489646023
Genre,Racing,Prophet,32.86362186470016,0.005078778006592195,0.005005791792319361,0.009738189635126205,0.010590195780235073,0.015601906,0.014738063,0.011439874039701575,0.01228955229916807
Genre,Racing,LightGBM,61.529952114245845,0.009348798015424476,0.009338815136356558,0.0058311693636434415,0.0058311693636434415,0.015601906,0.014738063,0.0058311693636434415,0.0058311693636434415
Cluster,Cluster_0,Linear,30.56461250066119,0.3273025730506404,0.3148349433249945,0.6643422379166708,0.7250653974333403,0.889701303,1.129376219,0.7857885569499956,0.8465117164666651
Cluster,Cluster_0,ARIMA,13.215313785995475,0.1551441356544104,0.11983745800000001,1.1080714281112294,1.1080714281112294,0.889701303,1.129376219,1.1080714281112294,1.1080714281112294
